transaction_id,customer_id,transaction_date,amount,type,status,merchant_category
T1001,C5678,2023-01-05,120.50,purchase,completed,retail
T1002,C8925,2023-01-05,1500.00,cash_advance,completed,atm
T1003,C5678,2023-01-06,45.20,purchase,completed,restaurant
T1004,C1234,2023-01-06,800.00,purchase,completed,electronics
T1005,C7890,2023-01-07,60.75,purchase,declined,online
T1006,C1234,2023-01-08,20.00,payment,completed,service
T1007,C5678,2023-01-10,1000.00,payment,completed,service
T1008,C9876,2023-01-12,500.00,purchase,completed,travel
T1009,C7890,2023-01-15,125.30,purchase,completed,restaurant
T1010,C1234,2023-01-16,2000.00,payment,completed,service
T1011,C5678,2023-01-18,300.00,purchase,completed,retail
T1012,C8925,2023-01-20,75.00,purchase,completed,retail
T1013,C9876,2023-01-22,1200.00,purchase,completed,electronics
T1014,C7890,2023-01-25,450.00,purchase,completed,travel
T1015,C1234,2023-01-27,55.90,purchase,completed,restaurant
T1016,C8925,2023-01-28,2500.00,payment,completed,service
T1017,C7890,2023-01-30,80.25,purchase,completed,retail
T1018,C9876,2023-01-31,100.00,cash_advance,completed,atm
T1019,C5678,2023-02-01,75.60,purchase,completed,restaurant
T1020,C1234,2023-02-03,300.00,purchase,completed,retail
